Origin (UTC),Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,K,
1947.10.6 19:55,Greece,37,22,0,6.9 MS,T,,,,,,8,
1947.11.1 14:58,Peru,-10.5,-75,0,7.7 MW,,,,233,233,,2,
1948.1.24 17:46,Philippines,10.5,122,0,8.1 MW,T,,,72,27,,9,
1948.5.11 8:55,Peru,-17.5,-70.25,70,7.4 mb,,,,4,,,2,
1948.5.25 7:11,China,29.5,100.5,0,7.2 MW,,,,737,,,3,
1948.5.28 5:36,Peru,-13,-76.5,60,7.0 UK,,,,4,,,2,
1948.6.15 11:44,Japan,33.75,135.25,0,6.9 UK,,,,2,,,0,
1948.6.27 0:08,China,26.4,99.7,,6.8 UK,,,,280,,,3,
1948.6.28 7:13,Japan (see 1948 Fukui earthquake),36.5,136,0,7.0 MW,F,,,3769,5131,,0,
1948.6.30 12:21,Greece,38.5,20.5,33,6.4 UK,,,,6,,,8,
1948.8.25 6:09,Argentina (see 1948 Salta earthquake),-24.5,-65,50,6.9 MS,,,,5,,,2,
1948.10.5 20:12,Turkmenistan (see 1948 Ashgabat earthquake),37.5,58,0,7.2 MW,,,,19800,110000,,1,
1948.10.8 19:01,China,27.4,104,,5.8 UK,,,,9,,,3,
1948.12.4 0:22,Mexico,22,-106.5,0,6.9 UK,,,,4,,,5,
1949.2.23 16:08,China,41,83.5,0,7.3 MW,,,,12,,,6,
1949.4.13 19:55,United States (see 1949 Olympia earthquake),47.25,-122.5,60,6.5 MS,,,,8,8,,5,
1949.4.20 3:29,Chile,-38,-73.5,70,7.1 mb,,,,57,,,2,
1949.7.10 3:53,Tajik Soviet Socialist Republic (see 1949 Khait earthquake),39,70.5,0,7.6 MW,,,,12000,,,6,
1949.7.23 15:03,Turkey,38.6,26.3,0,6.8 UK,T,,,7,,,8,
1949.8.5 19:08,Ecuador (see 1949 Ambato earthquake),-1.5,-78.25,0,6.8 UK,,,,6000,6000,,2,
1949.8.17 18:44,Turkey (see 1949 Karl__ova earthquake),39.5,40.6,0,6.8 UK,,,,320,437,,1,
1949.12.17 6:53,Chile (see 1949 Tierra del Fuego earthquake),-54,-71,0,7.8 MW,,,,1,,,2,
1949.12.17 15:07,Chile,-54,-71,0,7.8 MW,,,,3,,,2,
1949.12.29 3:03,Philippines,18,121,0,7.2 MW,T,,,15,,,0,
1950.5.21 18:37,Peru,-13.5,-72,,6.0 UK,,,,120,,,2,
1950.6.19 12:36,Indonesia,-6.25,112,0,6.8 UK,,,,16,,,9,
1950.8.3 22:18,Venezuela,10.5,-68,8,6.8 UK,,,,100,,,2,
1950.8.15 14:09,China (see 1950 Medog earthquake),28.5,96.5,0,8.6 UK,L,,,3300,1500,,3,
1950.12.9 21:38,Chile,-23.5,-67.5,100,7.7 mb,,,,4,,,2,
1951.7.9 0:04,Mexico,16.1,-96.8,50,6.2 UK,,,,1,,,5,
1951.8.13 18:33,Turkey (see 1951 Kur__unlu earthquake),40.8,33.4,0,6.7 UK,,,,50,,,1,
1951.10.21 21:34,Taiwan (see 1951 East Rift Valley earthquakes),23.75,121.5,0,7.5 MW,,,,68,,,0,
1951.11.24 18:50,Taiwan (see 1951 East Rift Valley earthquakes),23,122.5,0,7.3 MW,,,,17,,,0,
1952.1.3 6:03,Turkey (see 1952 Hasankale earthquake),39.9,41.7,,6.0 UK,,,,103,,,1,
1952.3.4 1:22,Japan,42.5,143,0,8.1 MW,T,,,33,30,,0,
1952.6.11 0:31,Argentina (see 1952 San Juan earthquake),-31.581,-68.467,25,6.5 MS,,,,5,,,2,
1952.7.17 16:09,Japan,34.4,135.8,64,6.8 UK,,,,9,,,0,
1952.7.21 11:52,United States (see 1952 Kern County earthquake),34.949,-119.046,10,7.3 UK,,,,12,14,,5,
1952.8.17 16:02,China,30.797,91.648,10,7.7 MW,,,,54,,,3,
1952.8.22 22:41,United States,35.333,-118.917,16,5.8 UK,,,,2,,,5,
1952.10.22 0:00,Turkey,36.5,35.5,,5.0 UK,,,,10,,,1,
1952.11.4 16:58,Russian Federation (see Kamchatka earthquakes),52.755,160.057,22.2,9.0 UK,T,,,,,,0,
1953.1.25 19:47,Haiti,18.4,-73.4,,5.7 UK,,,,2,,,2,
1953.2.12 8:15,Iran,35.4,55.1,,6.4 UK,,,,973,,,1,
1953.3.18 19:06,Turkey (see 1953 Yenice-G__nen earthquake),40.12,27.621,15,7.2 MW,,,,1103,1200,,8,
1953.5.6 17:16,Chile,-37.254,-72.92,68.4,7.5 mb,T,,,19,,,2,
1953.8.12 9:23,Greece (see 1953 Ionian Earthquake),38.046,20.766,15,7.2 MW,,,,800,455,,8,
1953.9.10 4:06,Cyprus,35,32.5,,6.5 UK,,,,40,,,1,
1953.9.14 0:26,Fiji (see 1953 Suva earthquake),-18.3,178.2,33,6.8 UK,T,,,8,,,4,
1953.12.12 17:31,Peru,-3.597,-80.847,19,7.5 MW,T,,,7,7,,2,
1954.2.11 0:30,China,38.876,101.212,35,7.1 MW,,,,47,,,3,
1954.4.30 13:02,Greece,39.187,22.239,25,6.8 MS,,,,31,,,8,
1954.7.2 2:45,Philippines,13,123.9,0,6.8 MS,,,,22,13,,9,
1954.8.20 15:30,Iran,27.5,52,,5.0 UK,,,,1,,,1,
1954.9.9 1:04,Algeria,36.2,1.6,0,6.7 MS,,,,1409,1250,,8,
1955.3.31 18:17,Philippines,7.386,122.878,54.2,7.7 MW,,,,465,400,,9,
1955.4.14 1:29,China,29.981,101.613,10,7.5 MW,,,,94,39,,3,
1955.4.15 3:40,China,39.816,74.64,35,7.1 MW,,,,5,,,6,
1955.4.19 20:24,Chile,-29.9,-71.6,0,6.9 MS,T,,,1,,,2,
1955.4.21 7:18,Greece,39.5,23,,6.0 UK,,,,7,,,8,
1955.7.16 7:07,Turkey,37.6,27.2,0,6.8 MS,,,,23,,,8,
1955.9.1 17:33,Costa Rica,10,-84.5,,5.8 UK,,,,10,,,5,
1955.9.12 6:09,Egypt,32.2,29.6,33,6.7 MS,,,,18,20,,8,
1955.9.23 15:06,China,26.6,101.7,0,6.9 MS,,,,593,,,3,
1956.1.12 5:46,Hungary,47.5,19.3,,5.8 UK,,,,2,,,8,
1956.2.20 20:31,Turkey,40,30.5,,5.8 UK,,,,4,,,8,
1956.3.16 19:32,Syrian Arab Republic,35.5,35.5,,5.8 UK,,,,148,,,1,
1956.6.9 23:13,Afghanistan,35.042,67.479,35,7.6 MW,L,,,350,100,,6,
1956.7.9 3:11,Greece,36.617,26.026,35,7.8 MW,T,,,53,,,8,
1956.7.16 15:07,Myanmar,21.969,95.802,32.1,7.1 MW,,,,38,,,3,
1956.7.21 15:32,India,23,70,,6.1 UK,,,,111,,,6,
1956.9.29 23:20,Japan,35.642,140.31,67,6.9 MS,,,,1,,,0,
1956.10.31 14:03,Iran,27.283,54.405,35,6.8 MS,,,,410,,,1,
1957.2.20 4:41,Tunisia,36.2,8.9,,5.6 UK,,,,13,,,8,
1957.2.23 20:26,Taiwan,23.917,121.517,56.8,7.2 MW,,,,7,,,0,
1957.3.8 12:21,Greece,39.267,22.607,10,6.9 MS,,,,2,,,8,
1957.4.25 2:25,Turkey,36.387,28.609,63.4,7.0 mb,,,,67,,,8,
1957.5.26 6:33,Turkey (see 1957 Abant earthquake),40.672,31.042,15,7.2 MW,,,,500,53,,8,
1957.7.2 0:42,Iran,36.09,52.701,35,7.1 MW,,,,1200,2500,,1,
1957.7.28 8:40,Mexico,16.881,-99.297,37.2,7.8 MW,T,,,160,160,,5,
1957.12.4 3:37,Mongolia,45.153,99.206,35,8.1 UK,,,,,,,3,
1957.12.13 1:45,Iran,34.278,47.712,35,6.8 MS,,,,2000,3000,,1,
1958.1.15 19:14,Peru,-16.779,-72.503,68.6,7.0 mb,,,,28,28,,2,
1958.1.19 14:07,Ecuador,1.054,-79.48,35,7.8 MW,T,,,20,,,2,
1958.2.7 23:23,China,31.577,103.912,14.2,6.8 MS,,,,,,,3,
1958.3.11 0:26,Japan,24.433,124.351,109.9,7.2 mb,,,,2,,,0,
1958.4.14 21:32,Ecuador,0.706,-79.575,35,6.8 MS,,,,3,,,2,
1958.7.10 6:15,Alaska, United States,58.37,-136.665,35,7.3 UK,T,,,5,,5,
1958.8.16 19:13,Iran,34.259,47.869,35,6.7 MS,,,,200,191,,1,
1958.9.4 21:51,Chile,-33.785,-70.112,35,6.8 MS,,,,7,,,2,
1958.10.20 1:12,Indonesia,-9.5,112.5,100,6.7 UK,,,,7,,,9,
1959.4.26 20:40,Japan,24.687,122.792,126.3,7.5 mb,,,,1,,,0,
1959.5.4 7:15,Russian Federation,53.351,159.645,35,8.0 MW,T,,,1,,,0,
1959.5.24 19:17,Mexico,17.45,-97.145,69.6,7.0 mb,,,,5,,,5,
1959.6.14 0:12,Chile,-20.369,-68.881,111.6,7.5 mb,,,,1,,,2,
1959.8.15 8:57,Taiwan (see 1959 Hengchun earthquake),21.952,120.97,25,7.2 MW,,,,17,,,0,
1959.8.18 6:37,United States (see 1959 Yellowstone earthquake),44.548,-110.636,15,7.3 UK,,,,28,28,,5,
1959.8.26 8:25,Mexico,18.16,-94.417,32.4,6.9 MS,,,,25,,,5,
1959.9.1 11:37,Albania,40.9,19.8,11,6.1 UK,,,,2,,,8,
1960.1.13 15:40,Peru,-15.814,-72.788,95.4,7.5 mb,,,,63,57,,2,
1960.1.15 9:30,Peru,-14.961,-75.162,97.2,6.9 mb,,,,63,,,2,
1960.2.21 8:13,Algeria,36,4.1,33,5.6 UK,,,,47,,,8,
1960.2.29 23:40,Morocco (see 1960 Agadir earthquake),30.5,-9.5,,5.7 MW,,,,13100,,,8,
1960.4.24 12:14,Iran,28,54.5,,6.0 UK,,,,420,,,1,
1960.5.22 10:30,Chile,-37.963,-73.173,38,6.8 MW,T,,,,,,2,
1960.5.22 19:11,Chile (see 1960 Valdivia earthquake),-38.235,-73.047,35,9.5 UK,T,,,5700,6000,,2,
1960.9.22 9:05,Democratic Republic Of The Congo,-3.6,29,28,6.6 UK,,,,24,,,8,
1960.11.20 22:02,Peru,-6.727,-80.606,52,7.8 MW,T,,,11,,,2,
1961.2.26 18:10,Japan,31.632,131.548,49.9,7.7 MW,T,,,2,,,0,
1961.6.1 23:29,Ethiopia,10.44,39.858,23.9,6.6 UK,,,,30,,,1,
1961.6.11 5:10,Iran,27.865,54.558,35,6.8 MS,,,,61,,,1,
1961.8.19 5:33,Japan,36.07,136.7,35,6.9 MS,,,,8,,,0,
1961.12.20 13:25,Colombia,4.587,-75.542,162.9,6.9 MS,,,,23,,,2,
1962.1.8 1:00,Dominican Republic,18.291,-70.461,32.6,6.7 MS,,,,1,,,2,
1962.5.11 14:11,Mexico,17.171,-99.651,35,7.3 MW,T,,,4,,,5,
1962.5.19 14:58,Mexico,17.008,-99.764,35,6.7 MS,T,,,30,,,5,
1962.7.30 20:19,Colombia,5.096,-76.626,150,6.9 MS,,,,47,,,2,
1962.8.28 10:59,Greece,37.874,22.737,107.7,6.8 MS,,,,1,,,8,
1962.9.1 19:20,Iran (see 1962 Bou'in-Zahra earthquake),35.556,49.81,17.6,6.9 MS,,,,12225,12000,,1,
1963.2.13 8:50,Taiwan,24.356,122.06,35,7.3 MW,T,,,15,,,0,
1963.6.26 4:17,Macedonia (see 1963 Skopje earthquake),?,??,?,6.1 MW,,,1100,,,,0,
1963.7.16 18:27,Georgia,43.163,41.527,35,6.7 MS,,,,2,,,1,
1963.9.24 16:30,Peru,-10.694,-78.212,65.3,6.9 mb,,,,1,,,2,
1964.1.8 22:30,Indonesia,-3.737,119.419,60,5.5 mb,,,,8,,,9,
1964.1.18 12:04,Taiwan (see 1964 Baihe earthquake),23.15,120.656,21,6.4 mb,,,,106,107,,0,
1964.3.28 3:36,Alaska, United States (see 1964 Alaska earthquake),61.017,-147.648,6.6,9.2 UK,T,,,131,131,5,
1964.4.2 1:11,Indonesia,5.987,95.404,129.2,5.6 mb,T,,,110,,,9,
1964.5.7 5:45,Tanzania,-3.93,35.112,31.6,6.3 mb,,,,1,4,,8,
1964.6.14 12:15,Turkey,38.08,38.475,10.4,5.5 mb,,,,8,,,1,
1964.6.16 4:01,Japan (see 1964 Niigata earthquake),38.434,139.226,13.1,7.5 UK,T,F,,,26,25,0,
1964.7.6 7:22,Mexico,18.194,-100.51,92.7,7.2 mb,,,,30,,,5,
1964.10.6 14:31,Turkey,40.25,28.208,31,6.0 mb,,,,23,23,,8,
1965.1.24 0:11,Indonesia (see 1965 Ceram Sea earthquake),-2.455,125.965,28.4,8.2 MW,T,,,71,,,9,
1965.2.23 22:11,Chile,-25.667,-70.71,38.5,6.5 MS,,,,1,,,2,
1965.3.9 17:57,Greece,39.229,23.825,4.7,5.6 mb,,,,2,38,,8,
1965.3.28 16:33,Chile,-32.492,-71.212,69.9,7.4 mb,,,,337,400,,2,
1965.3.31 9:47,Greece,38.339,22.299,50.3,6.3 mb,,,,6,,,8,
1965.4.19 23:42,Japan,34.842,138.278,38.7,5.6 mb,,,,2,,,0,
1965.4.29 15:28,United States,47.317,-122.335,65.4,6.5 mb,,,,7,7,,5,
1965.7.6 3:18,Greece,38.391,22.426,23.3,5.8 mb,T,,,1,,,8,
1965.8.23 19:46,Mexico (see 1965 Oaxaca earthquake),16.178,-95.846,10.5,7.4 MW,T,,,5,,,5,
1965.11.13 4:33,China,43.84,87.755,51.6,7.0 UK,,,,7,,,6,
1966.2.5 2:01,Greece,39.044,21.757,21.4,6.2 UK,,,,1,,,8,
1966.2.5 15:12,China,26.16,103.171,9.2,5.6 mb,,,,371,,,3,
1966.3.7 21:29,China,37.388,114.963,7.7,6.6 MW,,,,,0,,0,
1966.3.12 16:31,Japan,24.307,122.695,28.9,7.4 MW,T,,,7,,,0,
1966.3.20 1:42,Democratic Republic of the Congo,0.842,29.873,15,7.2 UK,,,,200,128,,8,
1966.3.22 8:11,China (see 1966 Xingtai earthquake),37.551,114.991,17.7,5.6 mb,,,,8064,,,0,
1966.4.25 23:22,Uzbekistan,,,,5 ML,,,,,10[7]|,,0,
1966.6.27 10:41,Nepal,29.554,80.854,22.7,6.0 mb,,,,80,80,,6,
1966.8.1 21:02,Pakistan,30.051,68.629,9.8,7.0 UK,,,,2,,,6,
1966.8.15 2:15,India,28.616,78.892,25,5.6 mb,,,,15,,,6,
1966.8.19 12:22,Turkey (see 1966 Varto earthquake),39.161,41.58,17.5,5.8 mb,,,,2517,2394,,1,
1966.9.28 14:00,China,27.457,100.089,5.5,5.8 mb,,,,32,,,3,
1966.10.17 21:41,Peru,-10.807,-78.684,20.7,8.2 MW,T,,,110,120,,2,
1966.10.29 2:39,Greece,38.874,21.176,11.3,5.7 mb,,,,1,,,8,
1966.12.28 8:18,Chile,-25.502,-70.655,30,7.7 MW,T,,,3,4,,2,
1967.2.9 15:24,Colombia,2.889,-74.799,40.4,7.2 MW,,,,98,61,,2,
1967.2.19 22:14,Indonesia,-9.168,112.946,97.9,5.9 mb,,,,54,54,,9,
1967.3.27 8:58,China,38.516,116.601,26.8,5.5 mb,,,,9,,,0,
1967.4.12 4:51,Indonesia,5.084,96.232,18.6,6.1 mb,T,,,14,,,9,
1967.5.1 7:09,Greece,39.552,21.291,13,5.9 UK,,,,9,,,8,
1967.7.22 16:56,Turkey (see 1967 Mudurnu earthquake),40.632,30.74,4.2,7.4 MW,,,,173,183,,8,
1967.7.26 18:52,Turkey,39.502,40.408,8.7,5.6 mb,,,,110,,,1,
1967.7.29 10:24,Colombia,6.788,-73.073,160.9,5.9 mb,,,,20,,,2,
1967.7.29 20:05,Venezuela (see 1967 Caracas earthquake),10.555,-67.31,23.7,6.5 mb,,,,240,240,,2,
1967.8.30 4:22,China,31.631,100.232,8.1,7.0 UK,,,,39,,,3,
1967.10.25 0:59,Taiwan,24.464,122.221,67.1,7.0 mb,,,,2,,,0,
1967.11.30 7:23,Albania,41.379,20.456,36.5,5.8 mb,,,,18,7,,8,
1967.12.10 22:51,India (see 1967 Koynanagar earthquake),17.394,73.774,10.7,6.3 UK,,,,180,177,,6,
1967.12.21 2:25,Chile,-21.864,-69.948,42.5,7.4 MW,T,,,1,,,2,
1968.1.14,Italy (see 1968 Belice earthquake),38,13,,6.4 UK,,,,,,380,8,
1968.2.19 22:45,Greece,39.372,24.946,8.1,7.2 MW,T,,,20,19,,8,
1968.4.1 0:42,Japan,32.482,132.192,30.2,7.5 MW,T,,,1,,,0,
1968.5.16 0:49,Japan,40.903,143.346,25.8,8.3 MW,T,,,52,47,,0,
1968.5.23 17:24,New Zealand,-41.743,172.123,46.7,7.2 MW,,,,3,,,4,
1968.6.19 8:13,Peru,-5.558,-77.151,15.6,6.9 MS,,,,46,11,,2,
1968.7.2 3:44,Mexico,17.515,-100.259,58.3,5.7 mb,,,,1,,,5,
1968.8.1 20:19,Philippines (see 1968 Casiguran earthquake),16.384,122.078,52.2,7.7 MW,T,,,207,271,,0,
1968.8.2 14:06,Mexico,16.494,-97.771,49.8,7.3 MW,,,,18,,,5,
1968.8.14 22:14,Indonesia,0.058,119.69,18.8,7.3 MW,T,,,392,,,9,
1968.8.31 10:47,Iran (see 1968 Dasht-e Bayaz and Ferdows earthquake),34.045,58.96,12.3,7.2 MW,,,,15000,10000,,1,
1968.9.1 7:27,Iran (see 1968 Dasht-e Bayaz and Ferdows earthquake),34.072,58.212,8.8,6.3 MS,,2000,2000,900,10000,,1,
1968.9.3 8:19,Turkey,41.771,32.452,4.9,5.7 mb,T,25,25,29,29,,1,
1968.9.20 6:00,Venezuela,10.731,-62.719,102.6,6.2 mb,T,2,2,3,,,2,
1968.9.25 10:38,Mexico,15.551,-92.66,122.4,5.8 mb,T,15,15,48,15,,5,
1969.2.11 22:08,China,41.426,79.239,13.1,7.1 UK,,,,2,,,6,
1969.2.23 0:37,Indonesia,-3.179,118.799,60.6,5.9 mb,T,,,600,,,9,
1969.2.28 2:40,Portugal (see 1969 Portugal earthquake),35.923,-10.568,32.5,7.8 MW,T,13,13,13,,,8,
1969.3.28 1:48,Turkey,38.535,28.467,9.3,6.4 MS,,53,53,53,41,,8,
1969.3.29 9:15,Ethiopia,11.939,41.219,12,6.3 MS,,24,24,40,24,,1,
1969.3.31 7:15,Egypt,27.511,33.936,3.5,6.8 MS,,2,2,2,,,1,
1969.7.18 5:24,China (see 1969 Bohai earthquake),38.421,119.453,12,7.2 MW,,,,10,,,0,
1969.7.25 22:49,China (see 1969 Yangjiang earthquake),21.612,111.809,3.4,5.9 MS,,3000,3000,33,3000,,0,
1969.9.9 5:15,Japan,35.786,137.093,7.5,6.0 MS,,0,0,1,,,0,
1969.9.29 20:03,South Africa,-33.19,19.336,15,6.3 MS,,12,12,12,9,,8,
1969.10.1 5:05,Peru,-11.835,-75.195,6.5,6.2 MS,,136,136,136,150,,2,
1969.10.2 6:19,United States (see 1969 Santa Rosa earthquakes),38.3,-122.764,15,5.7 UK,,,,1,,,5,
1969.10.26 15:36,Bosnia and Herzegovina,44.807,17.353,15,5.6 MS,,14,14,20,15,,8,
1969.10.27 8:10,Bosnia and Herzegovina,44.837,17.234,15,6.1 MS,,,,9,,,8,
1970.1.4 17:00,China (see 1970 Tonghai earthquake),24.147,102.462,14,7.2 MW,,,,15621,10000,,3,
1970.1.20 17:33,Japan,42.523,143.024,34.9,6.4 MS,,1,1,,,,0,
1970.2.5 22:05,Philippines,12.6,122.058,7.7,6.6 MS,,3,3,3,,,9,
1970.3.28 21:02,Turkey (see 1970 Gediz earthquake),39.172,29.55,24.2,7.4 UK,,1086,1086,1086,1086,,8,
1970.4.7 5:34,Philippines,15.772,121.659,28.3,7.2 MW,,14,14,15,14,,0,
1970.5.14 9:20,Russian Federation,43.079,47.08,13.2,5.5 mb,,,,,,,1,
1970.5.14 18:12,Russian Federation,43.102,47.071,12.7,6.5 MS,,,,,,,1,
1970.5.31 20:23,Peru (see 1970 Ancash earthquake),-9.248,-78.84,73,7.9 UK,L,0,70000,66794,66794,,2,
1970.6.5 4:53,Kyrgyzstan,42.492,78.719,4,6.6 MS,,,,,,,6,
1970.7.30 0:52,Iran,37.836,55.887,10.9,6.6 MS,,176,176,220,176,,1,
1970.7.31 17:08,Colombia,-1.486,-72.563,644.6,8.0 UK,,1,1,1,,,2,
1970.10.31 17:53,Papua New Guinea (see 1970 New Guinea earthquake),-4.907,145.471,8.1,7.3 UK,T,L,15,15,5,15,7,
1970.11.14 7:58,Taiwan,22.839,121.363,27.6,6.1 MS,,2,2,2,,,0,
1970.12.10 4:34,Peru,-4.079,-80.662,20.1,7.1 MW,,81,81,81,29,,2,
1971.2.9 14:00,United States (see 1971 San Fernando earthquake),34.401,-118.392,6.4,6.7 UK,L,Lq,65,65,58,65,5,
1971.4.3 4:49,China,32.178,95.028,15,5.6 mb,,,,1,,,3,
1971.4.12 19:03,Iran,28.264,55.608,5.6,5.9 MS,,,,1,,,1,
1971.4.28 15:32,China,22.953,100.993,8,6.3 MS,,,,2,,,3,
1971.5.12 6:25,Turkey,37.555,29.746,28.8,5.9 MS,,100,100,57,,,8,
1971.5.22 16:44,Turkey (see 1971 Bing__l earthquake),38.868,40.542,3.6,6.7 MS,,1000,1000,995,878,,1,
1971.6.17 21:00,Chile,-25.423,-69.052,90.1,7.2 mb,,1,1,1,,,2,
1971.7.9 3:03,Chile,-32.558,-71.085,59,7.8 MW,T,83,83,83,85,,2,
1971.7.14 6:11,Papua New Guinea,-5.519,153.906,44.5,8.0 MW,T,0,1,2,,,7,
1971.7.26 1:48,China,39.848,77.246,41.1,5.8 mb,,,,1,,,6,
1971.7.27 2:02,Ecuador,-2.825,-77.362,94.5,7.3 mb,,1,1,1,,,2,
1971.8.16 4:58,China,28.879,103.672,22.7,5.5 mb,,,,10,,,3,
1971.10.12 9:45,Guatemala,15.797,-91.137,35.5,5.7 MS,,,,2,,,5,
1971.10.15 10:33,Peru,-14.183,-73.399,80,5.7 mb,,5,5,14,,,2,
1971.10.27 17:58,Vanuatu,-15.578,167.32,60.9,6.3 mb,,1,1,1,,,4,
1972.1.25 2:06,Taiwan,22.549,122.325,10.1,7.5 MW,T,1,1,1,,,0,
1972.3.20 7:33,Peru,-6.81,-76.78,49.8,6.9 UK,,7,7,7,,,2,
1972.4.10 2:06,Iran (see 1972 Qir earthquake),28.408,52.789,6,6.7 MW,,5054,5054,5010,5057,,1,
1972.4.24 9:57,Taiwan (see 1972 Ruisui earthquake),23.604,121.534,21,6.9 MS,,4,4,5,,,0,
1972.6.24 15:29,Afghanistan,36.255,69.684,31.1,6.1 MS,,11,11,11,,,6,
1972.9.3 16:48,Pakistan,35.949,73.321,32.9,6.2 MS,,100,100,100,,,6,
1972.12.23 6:29,Nicaragua (see 1972 Nicaragua earthquake),12.347,-86.128,7.3,6.2 MS,,5000,5000,10000,10000,,5,
1973.1.30 21:01,Mexico,18.455,-102.96,37.2,7.5 MS,T,17,17,56,17,,5,
1973.2.6 10:37,China,31.353,100.545,10,7.7 UK,,,,2199,,,3,
1973.3.17 8:30,Philippines,13.415,122.804,44.3,7.5 UK,T,15,15,15,14,,0,
1973.4.14 8:34,Costa Rica,10.673,-84.86,30.3,6.5 MS,,26,26,26,,,5,
1973.4.24 21:30,Colombia,4.907,-78.114,28.8,6.6 UK,,1,1,1,,,2,
1973.8.16 3:58,China,23.003,101.078,6.4,6.4 MS,,,,1,,,3,
1973.8.28 9:50,Mexico (see 1973 Veracruz earthquake),18.233,-96.608,80.6,7.2 UK,,600,600,600,500,,5,
1973.11.11 7:14,Iran,30.535,52.951,2,5.5 mb,,1,1,1,,,1,
1973.11.23 13:36,Portugal,38.486,-28.329,18.5,5.2 UK,,1,1,1,,,8,
1973.11.24 14:05,Algeria,36.201,4.473,33.1,5.1 mb,,4,4,4,,,8,
1974.1.5 8:33,Peru,-12.351,-76.307,91.9,6.6 UK,,10,10,10,,,2,
1974.2.1 0:01,Turkey,38.54,27.263,11.9,5.4 ML,,2,2,,,,8,
1974.4.22 0:29,China,31.533,119.28,14.2,5.5 MS,,,,8,,,0,
1974.5.8 23:33,Japan,34.57,138.771,11.3,6.7 UK,T,27,27,30,30,,0,
1974.5.10 19:25,China (see 1974 Zhaotong earthquake),28.195,104.007,10.2,6.8 MS,,,,1541,,,3,
1974.6.12 16:25,Venezuela,10.509,-63.429,7.9,6.5 UK,,3,3,5,,,2,
1974.7.13 1:18,Panama,7.737,-77.631,3.8,7.3 MS,,11,11,11,,,2,
1974.8.3 18:16,Japan,36.016,139.901,51.4,5.6 mb,,2,2,,,,0,
1974.10.2 2:54,Peru,-5.882,-81.019,20.5,5.7 mb,,,,,78,,2,
1974.10.3 14:21,Peru,-12.254,-77.523,33.5,7.6 MS,T,78,78,78,,,2,
1974.12.28 12:11,Pakistan (see 1974 Hunza earthquake),35.026,72.898,12.5,6.2 MS,,5300,5300,5300,,,6,
1975.1.19 8:02,India (see 1975 Kinnaur earthquake),32.373,78.474,5,6.8 MS,,47,47,47,47,,6,
1975.2.4 11:36,China (see 1975 Haicheng earthquake),40.667,122.646,8,7.0 MW,,,,1328,10000,2041,0,
1975.2.9 4:45,Indonesia,-6.774,106.634,15,5.6 MS,,1,1,1,,,9,
1975.3.7 7:04,Iran,27.477,56.224,11,6.1 MS,,7,7,7,,,1,
1975.3.13 15:26,Chile,-29.91,-71.393,31.3,6.9 MS,T,2,2,2,,,2,
1975.4.5 9:34,Venezuela,10.065,-69.666,22.4,6.3 UK,,3,3,3,,,2,
1975.7.8 12:04,Myanmar,21.452,94.598,117.6,6.5 mb,,,,1,,,3,
1975.7.11 7:18,Algeria,36.32,5.241,33,4.3 mb,,1,1,1,,,8,
1975.7.19 6:10,India,31.937,78.605,12.8,5.3 mb,,2,2,,,,6,
1975.9.6 9:20,Turkey (see 1975 Lice earthquake),38.515,40.768,39.6,6.7 MS,,2311,2311,2370,2385,,1,
1975.10.31 8:28,Philippines,12.535,125.997,52.5,7.6 UK,T,1,1,1,,,9,
1975.11.5 17:04,Mexico,16.9,-92.818,12,5.0 mb,,1,1,,,,5,
1975.11.29 14:47,United States Minor Outlying Islands,19.452,-155.034,2.1,7.2 MS,T,2,2,2,,,5,
1975.12.30 14:36,Turkey,38.595,40.526,31.8,4.6 mb,,3,3,,,,1,
1975.12.31 9:45,Greece,38.526,21.714,15,5.5 MS,,1,1,1,,,8,
1976.1.13 13:29,Iceland,66.226,-16.578,15,6.3 MW,,,,,1,,8,
1976.2.4 9:01,Guatemala (see 1976 Guatemala earthquake),15.296,-89.145,12.3,7.5 MW,T,23000,23000,22870,23000,,5,
1976.2.4 9:30,Guatemala (see 1976 Guatemala earthquake),14.812,-90.469,60.4,5.4 mb,,,,,,,5,
1976.2.19 13:59,Cuba,19.864,-76.899,21.1,5.9 MS,,1,1,1,,,5,
1976.3.13 16:30,Guatemala,14.725,-91.006,15,5.4 mb,L,4,4,4,,,5,
1976.3.19 13:03,Afghanistan,36.587,67.758,18.2,5.6 mb,L,49,49,49,50,,6,
1976.3.25 11:55,Turkey,40.939,42.954,35,4.8 mb,,1,1,1,2,,1,
1976.4.2 16:58,Turkey,39.801,43.689,25,4.6 mb,,4,4,4,,,1,
1976.4.5 16:54,China,40.23,112.222,7,5.5 MS,,,,28,,,0,
1976.4.9 7:08,Ecuador,0.85,-79.564,17,6.6 MW,,8,8,8,10,,2,
1976.4.29 22:18,Turkey,40.935,42.875,35,5.5 MS,,4,4,4,,,1,
1976.5.6 20:00,Italy (see 1976 Friuli earthquake),46.385,13.266,20.7,6.5 MW,,900,900,965,922,,8,
1976.5.15 21:55,Peru,-11.66,-74.419,19,6.7 MW,L,5,5,5,,,2,
