Origin (UTC),Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,K,
1913.11.4 21:33,Peru,-14.2,-72.9,10,6.3 UK,,,,150,,,2,
1913.12.21 15:37,China,24.5,102,0,7.2 MW,,,,1314,,,3,
1914.1.12 9:28,Japan,31.6,130.6,5,6.7 MS,T,,,35,,,0,
1914.3.14 20:00,Japan,39.5,140.4,5,7.0 MS,,,,94,,,0,
1914.5.8 18:01,Italy,37.7,15.2,,4.9 UK,,,,69,,,8,
1914.5.26 14:22,Indonesia,-2,137,0,7.9 MW,T,,,,,,7,
1914.6.25 19:07,Indonesia,-4.5,102.5,0,7.6 MW,,,,,20,,9,
1914.8.4 22:41,China,43.5,91.5,0,7.2 MW,,,,,,,3,
1914.10.3 22:06,Turkey (see 1914 Burdur earthquake),37.5,32.5,0,7.1 MW,,,,4000,,,1,
1915.1.13 6:52,Italy (see 1915 Avezzano earthquake),42,13.5,0,6.9 MS,,,,32610,29980,,8,
1915.3.17 18:45,Japan,42.1,143.6,35,7.2 mb,,,,2,,,0,
1915.6.23 4:56,United States,32.8,-115.5,,6.2 UK,,,,6,,,5,
1915.9.7 1:20,El Salvador,14,-89,80,7.4 mb,,,,7,,,5,
1915.12.3 2:39,China,29.5,91.5,0,7.0 MS,,,,170,,,3,
1916.8.28 7:27,Taiwan (see 1916___17 Nantou earthquakes),23.9,120.5,5,7.2 MJ,,,,16,,,0,
1916.11.14 22:31,Taiwan (see 1916___17 Nantou earthquakes),24,121,,6.0 UK,,,,1,,,0,
1917.1.4 16:55,Taiwan (see 1916___17 Nantou earthquakes,21.9,120.9,0,6.5 MS,,,,54,,,0,
1917.1.21 23:11,Indonesia,-7,116,,6.6 UK,T,,,15000,,,9,
1917.1.24 0:48,China,31,114,0,6.5 MS,,,,,,,0,
1917.1.31 3:39,Philippines,6,125,,6.4 UK,,,,7,,,9,
1917.7.30 23:54,China,29,104,0,7.3 MW,,,,1879,1800,,3,
1917.8.31 11:36,Colombia,4,-74,0,7.1 MS,,,,,,,2,
1918.2.13 6:07,China (see 1918 Shantou earthquake),23.54,117.243,15,7.2 MW,,,,,10000,,0,
1918.4.21 22:32,United States,33.812,-117.44,15,6.8 UK,,,,1,,,5,
1918.8.15 12:18,Philippines,5.653,123.563,35,8.2 MW,,,,,100,,9,
1918.9.7 17:15,Russian Federation,46.812,150.253,242.4,7.6 mb,T,,,24,,,0,
1918.10.11 14:14,Puerto Rico (see 1918 San Ferm__n earthquake),18.473,-67.631,35,7.3 MW,T,,,116,116,,2,
1919.5.6 19:40,Papua New Guinea,-5.477,152.629,232.8,7.6 mb,T,,,,,,7,
1920.1.4 4:22,Mexico,19.27,-97.08,15,6.2 MS,L,,,,,1500[6],5,
1920.2.20 11:45,Georgia (see 1920 Gori earthquake),42,44.1,11,6.2 UK,,,,130,,,1,
1920.6.5 4:21,Taiwan,23.813,122.08,35,7.9 MW,,,,5,,,0,
1920.9.7 5:55,Italy,44.3,10.3,10,5.8 UK,,,,171,,,8,
1920.12.16 12:05,China (see 1920 Haiyuan earthquake),36.601,105.317,25,8.6 MS,,,,235502,180000,,3,
1920.12.17 18:59,Argentina (see 1920 Mendoza earthquake),-32.7,-68.4,10,6.0 UK,,,,400,,,2,
1921.8.14,Eritrea (see 1921 Massawa earthquake),15.61,39.445,,,,,,,,,1,
1921.11.11 18:36,Philippines,7.897,127.257,35,7.3 MW,,,,600,,,9,
1922.4.26 1:11,Japan,35.2,139.8,35,6.8 MJ,,,,2,,,0,
1922.9.1 19:16,Taiwan,24.506,122.04,35,7.5 MW,,,,5,,,0,
1922.10.14 23:45,Taiwan,24.5,122,35,6.9 MJ,,,,6,,,0,
1922.11.11 4:32,Chile (see 1922 Vallenar earthquake),-28.553,-70.755,35,8.7 MW,T,,,1000,1000,,2,
1922.12.7 16:50,Japan,32.7,130.1,5,6.9 MJ,,,,26,,,0,
1922.12.8 2:02,Japan,32.7,130.1,5,6.5 MJ,,,,,,,0,
1923.2.3 16:01,Russian Federation,53.853,160.761,35,8.5 MW,T,,,,,,0,
1923.3.24 12:40,China,30.553,101.258,25,7.2 MW,,,,450,5000,,3,
1923.4.13 15:31,Russian Federation,55.415,162.585,35,7.1 MW,T,,,18,,,0,
1923.5.25 22:21,Iran,35.2,59.2,,5.7 UK,,,,2219,,,1,
1923.9.1 2:58,Japan (see 1923 Great Kanto earthquake),35.405,139.084,35,7.9 UK,T,F,,,142807,143000,0,0
1923.9.9 22:03,Bangladesh,24.943,90.32,35,7.1 MS,,,,50,,,3,
1923.9.17 7:09,Iran,37.2,57.7,,6.4 UK,,,,157,,,1,
1923.9.22 20:47,Iran,29.12,56.928,35,6.9 UK,,,,290,,,1,
1923.12.14 10:31,Colombia,1,-77.5,,5.3 UK,,,,300,,,2,
1924.1.14 20:50,Japan,35.5,139.2,5,7.3 MJ,,,,19,,,0,
1924.3.3 8:01,Ecuador,-1.6,-78.6,,6.9 UK,,,,40,,,2,
1924.7.3 4:40,China,36.632,83.903,35,7.1 MW,,,,255,,,6,
1924.7.12 15:12,Kyrgyzstan,40.565,73.397,25,6.8 UK,,,,41,,,6,
1924.9.13 14:34,Turkey (see 1924 Pasinler earthquake),39.864,41.876,35,6.8 UK,,,,30,,,1,
1925.3.16 14:42,China,25.688,100.494,25,7.0 MS,,,,5808,5000,,3,
1925.5.23 2:09,Japan,35.6,134.8,5,6.8 UK,F,,,428,,,0,
1925.6.29 14:42,United States,34.5,-119.6,,6.2 UK,,,,13,,,5,
1925.12.14 0:00,Iran,34.6,58.1,,5.5 UK,,,,500,,,1,
1925.12.18 5:53,Iran,28.5,51.2,,5.5 UK,,,,2,,,1,
1926.3.18 14:06,Turkey,35.787,29.246,35,6.9 UK,,,,,,,8,
1926.6.26 19:46,Greece,36.605,26.888,101.8,7.7 mb,,,,110,,,8,
1926.6.28 3:23,Indonesia,-0.051,101.522,35,6.8 UK,,,,222,,,9,
1926.10.22 19:59,Turkey (see 1926 Kars earthquake),40.7,43.7,7,5.7 UK,,,,370,,,1,
1926.11.5 7:55,Nicaragua,12.67,-86.736,35,7.1 mb,,,,,,,5,
1927.3.7 9:27,Japan,35.802,134.924,9.6,7.6 MS,T,F,,,2925,2925,0,
1927.3.20 0:00,China,24.1,102,,5.0 UK,,,,7,,,3,
1927.4.14 6:23,Argentina,-32.477,-69.675,35,7.2 mb,,,,8,,,2,
1927.5.22 22:32,China (see 1927 Gulang earthquake),37.386,102.311,25,7.9 MS,,,,80000,200000,,3,
1927.7.11 13:04,Judea and Samaria (see 1927 earthquake in Palestine),32,35.5,33,6.3 UK,,,,361,,,1,
1927.8.24 18:09,Taiwan,23.118,120.237,35,6.8 UK,,,,11,,,0,
1928.3.22 4:17,Mexico,16.127,-96.505,35,7.5 MW,T,,,,,,5,
1928.3.31 0:29,Turkey,38.1,27.1,,6.5 UK,,,,170,,,8,
1928.4.9 17:34,Peru,-13.731,-70.628,35,6.8 MS,,,,10,,,2,
1928.4.14 9:00,Bulgaria,42.402,25.667,15,6.8 UK,,,,107,107,,8,
1928.4.18 19:22,Bulgaria,42.386,25.087,15,6.8 UK,,,,103,,,8,
1928.5.14 22:14,Peru,-5.261,-78.559,35,7.2 MW,,,,29,,,2,
1928.8.21 19:01,Iran,37.3,57.9,9,5.4 UK,,,,10,,,1,
1928.12.1 4:06,Chile,-35.086,-71.683,35,7.7 MW,T,,,225,,,2,
1928.12.19 11:37,Philippines,6.977,124.856,35,7.3 MW,T,,,93,,,9,
1929.1.17 11:45,Venezuela,9.499,-64.381,35,6.9 UK,T,,,,,,2,
1929.5.1 15:37,Turkmenistan (see 1929 Koppeh Dagh earthquake),37.957,57.693,25,7.1 MW,,,,3257,3300,,1,
1929.5.18 6:37,Turkey,40.2,37.9,10,6.5 UK,,,,64,,,1,
1929.5.30 9:43,Argentina,-34.768,-67.598,35,6.8 UK,,,,52,,,2,
1929.6.16 22:47,New Zealand (see 1929 Murchison earthquake),-41.831,172.292,35,7.5 MW,T,,,17,,,4,
1929.7.13 7:36,Iran,37.5,58,57,5.8 UK,,,,5,,,1,
1929.10.19 10:12,Chile,-23.038,-68.737,35,7.4 mb,,,,,,,2,
1929.11.18 20:32,Saint Pierre and Miquelon (see 1929 Grand Banks earthquake),44.539,-56.008,15,7.3 UK,T,,,52,,,5,
1930.5.5 13:45,Myanmar,17.665,96.543,35,7.2 MW,T,F,,,550,500,3,
1930.5.6 22:34,Iran (see 1930 Salmas earthquake),38.152,44.685,25,7.1 MW,,,,2514,2500,,1,
1930.5.14 19:48,China,26.8,103,,6.0 UK,,,,42,,,3,
1930.7.23 0:08,Italy (see 1930 Irpinia earthquake),41.05,15.367,,6.6 UK,,,,,,1404,8,
1930.10.30 7:13,Italy,43.75,13.5,,6.0 UK,,,,18,,,8,
1930.11.21 2:00,Albania,40.5,19.5,12,6.0 UK,,,,35,,,8,
1930.11.25 19:02,Japan,34.977,139.103,35,6.9 MW,,,,272,0,,0,
1930.12.2 13:29,Albania,40.3,19.6,4,5.0 UK,,,,25,,,8,
1930.12.3 18:51,Myanmar,17.972,96.422,35,7.3 MW,,,,22,36,,3,
1930.12.8 8:01,Taiwan,23.2,120.6,,6.3 UK,,,,4,,,0,
1930.12.24 6:02,Argentina,-24.7,-66.3,30,6.0 UK,,,,36,,,2,
1930.12.25 19:03,Japan,35.1,133,5,7.0 UK,,,,272,,,0,
1931.1.15 1:50,Mexico,16.053,-96.614,35,7.8 MW,,,,68,,,5,
1931.2.2 22:46,New Zealand (see 1931 Hawke's Bay earthquake),-39.772,176.025,35,7.7 MW,T,,,256,256,,4,
1931.2.10 6:34,Indonesia,-5.433,102.458,35,7.1 MW,,,,18,,,9,
1931.3.8 1:50,Kingdom of Yugoslavia,41.337,22.666,25,6.8 UK,,,,35,,,8,
1931.3.31 16:02,Nicaragua (see 1931 Nicaragua earthquake),13.2,-85.7,,5.6 UK,F,,,1000,,,5,
1931.4.27 16:50,Armenia,39.2,46,22,6.3 UK,,,,390,,,1,
1931.6.7 1:30,England (see 1931 Dogger Bank earthquake),54.08,1.5,,6.1 UK,,,,,,1,8,
1931.8.10 21:18,China (see 1931 Fuyun earthquake),46.571,89.965,35,7.9 MW,,,,10000,,,6,
1931.8.27 15:27,Pakistan,29.473,67.172,35,7.1 MW,,,,200,,,6,
1931.9.21 2:20,Japan,36.021,139.381,35,6.8 UK,,,,16,,,0,
1931.10.3 19:13,Solomon Islands,-10.932,161.016,35,7.8 MW,T,,,50,,,7,
1931.11.2 10:03,Japan,32.003,131.945,42.2,7.5 MW,T,,,1,,,0,
1932.2.3 6:16,Cuba,19.77,-75.85,25,6.8 UK,,,,8,,,5,
1932.3.14 22:42,Venezuela,8.149,-71.974,35,6.8 UK,,,,6,,,2,
1932.4.6 9:11,China,31.4,115,15,6.0 UK,,,,6,,,0,
1932.5.14 13:11,Indonesia,0.258,126.169,35,8.1 MW,,,,5,6,,9,
1932.5.21 10:10,Nicaragua,12.364,-87.894,35,6.9 UK,,,,10,,,5,
1932.6.3 10:36,Mexico (1932 Jalisco earthquake),19.457,-104.146,25,7.9 MW,T,,,60,,,5,
1932.6.18 10:12,Mexico,19.452,-103.632,54.3,7.9 MW,T,,,52,,,5,
1932.6.22 12:59,Mexico,19.028,-104.379,25,6.9 UK,T,,,75,,,5,
1932.9.26 19:20,Greece (see 1932 Ierissos earthquake),40.333,23.732,35,6.9 UK,T,,,491,,,8,
1932.12.25 2:04,China (see 1932 Changma earthquake),39.771,96.69,25,7.6 MW,,,,275,,,3,
1933.3.2 17:31,Japan (see 1933 Sanriku earthquake),39.224,144.622,35,8.4 UK,T,,,3064,3008,,0,
1933.3.11 1:55,United States (see 1933 Long Beach earthquake),33.63,-118,,6.4 MW,,,,,,120,5,
1933.4.23 5:57,Greece,36.516,27.15,35,6.8 UK,,,,74,,,8,
1933.6.24 21:54,Indonesia,-5.522,104.434,35,7.3 MW,,,,76,,,9,
1933.8.25 7:50,China (see 1933 Diexi earthquake),31.81,103.541,25,7.3 MW,,,,6865,,,3,
1933.11.28 11:09,Iran,32.1,56,27,6.3 UK,,,,4,,,1,
1934.1.12 13:31,China,23.7,102.7,,6.0 UK,,,,1,,,3,
1934.1.15 8:43,Nepal (see 1934 Bihar earthquake),26.773,86.762,35,8.1 UK,,,,10700,6000,,3,
1935.1.4 14:41,Turkey (see 1935 Erdek-Marmara Islands earthquake),40.5,27.5,7,6.2 UK,,,,5,,,8,
1935.2.25 2:51,Greece,36.084,24.703,35,6.8 UK,,,,,,,8,
1935.3.5 10:27,Iran,36.3,53.3,,6.0 UK,,,,60,,,1,
1935.4.11 23:14,Iran,36.432,53.621,35,6.8 UK,,,,500,,,1,
1935.4.20 22:02,Taiwan (see 1935 Hsinchu-Taichung earthquake),24.364,120.613,35,7.1 MS,,,,3276,3410,,0,
1935.4.28 0:00,China,29.4,102.3,,6.0 UK,,,,2,,,3,
1935.5.1,Turkey (see 1935 Digor earthquake),40.38,43.41,7,6.2 UK,,,,,,200,1,
1935.5.30 21:32,Pakistan (see 1935 Balochistan earthquake),28.894,66.176,35,8.1 MW,,,,60000,60000,,6,
1935.7.11 18:35,Japan,35,138,10,6.3 UK,,,,9,,,0,
1936.1.9 9:23,Colombia,1.1,-77.6,,7.0 UK,,,,250,,,2,
1936.2.7 8:56,China,35.633,103.265,25,6.8 UK,,,,42,,,3,
1936.4.26 23:59,China,28.733,103.497,25,6.8 UK,,,,,,,3,
1936.5.16 7:05,China,28.675,103.684,25,6.8 UK,,,,550,,,3,
1936.8.1 6:24,China,34.2,105.7,,6.0 UK,,,,144,,,3,
1936.8.17 0:00,China,26.6,103,,5.5 UK,,,,30,,,3,
1936.8.23 21:12,Indonesia,5.296,94.759,35,7.1 MS,T,,,91,9,,9,
1937.7.26 3:47,Mexico,18.523,-95.878,35,7.2 mb,,,,34,,,5,
